Job ID,Agency,Salary,Posting Date,Posting Updated
160910,DEPT OF INFO TECH & TELECOMM,54746,2014-08-21,2014-08-21
163183,DEPT OF ENVIRONMENT PROTECTION,51870,2014-08-27,2014-08-27
163776,DEPT OF ENVIRONMENT PROTECTION,89494,2014-08-27,2014-08-27
163776,DEPT OF ENVIRONMENT PROTECTION,89494,2014-08-27,2014-08-27
93086,DEPT OF INFO TECH & TELECOMM,75496,2011-09-08,2011-09-08
97899,DEPARTMENT OF BUSINESS SERV.,111377,2012-01-26,2012-01-26
102221,DEPT OF ENVIRONMENT PROTECTION,47923,2012-06-21,2012-09-07
102221,DEPT OF ENVIRONMENT PROTECTION,47923,2012-06-21,2012-09-07
114352,DEPT OF ENVIRONMENT PROTECTION,109850,2012-12-12,2012-12-13
117261,DEPT OF ENVIRONMENT PROTECTION,47923,2013-02-20,2013-02-25
117261,DEPT OF ENVIRONMENT PROTECTION,47923,2013-02-20,2013-02-25
167179,NYC EMPLOYEES RETIREMENT SYS,109413,2014-11-19,2014-11-19
167179,NYC EMPLOYEES RETIREMENT SYS,109413,2014-11-19,2014-11-19
168165,DEPT OF HEALTH/MENTAL HYGIENE,72793,2014-09-18,2014-09-18
120749,DEPT OF ENVIRONMENT PROTECTION,105000,2013-05-24,2013-05-24
120749,DEPT OF ENVIRONMENT PROTECTION,105000,2013-05-24,2013-05-24
121583,LAW DEPARTMENT,28210,2013-06-25,2013-09-25
121583,LAW DEPARTMENT,28210,2013-06-25,2013-09-25
172053,DEPT OF INFO TECH & TELECOMM,59246,2014-10-21,2014-10-21
124287,LAW DEPARTMENT,35314,2013-08-01,2016-10-11
124287,LAW DEPARTMENT,35314,2013-08-01,2016-10-11
171287,DEPT OF ENVIRONMENT PROTECTION,53772,2014-10-10,2014-10-15
171944,DEPT OF INFO TECH & TELECOMM,48146,2014-10-30,2014-10-30
124564,DEPT OF ENVIRONMENT PROTECTION,71781,2013-07-31,2013-07-31
124564,DEPT OF ENVIRONMENT PROTECTION,71781,2013-07-31,2013-07-31
124839,DEPT OF ENVIRONMENT PROTECTION,83655,2013-08-02,2013-08-09
124839,DEPT OF ENVIRONMENT PROTECTION,83655,2013-08-02,2013-08-09
151770,DEPT OF HEALTH/MENTAL HYGIENE,124670,2014-06-06,2014-09-03
128877,DEPT OF ENVIRONMENT PROTECTION,37368,2013-09-06,2013-12-11
172546,DEPT OF HEALTH/MENTAL HYGIENE,62493,2014-10-23,2015-10-22
172546,DEPT OF HEALTH/MENTAL HYGIENE,62493,2014-10-23,2015-10-22
172874,DEPT OF HEALTH/MENTAL HYGIENE,62493,2014-10-28,2014-10-28
128877,DEPT OF ENVIRONMENT PROTECTION,37368,2013-09-06,2013-12-11
131277,NYC HOUSING AUTHORITY,55379,2013-10-22,2014-05-08
131277,NYC HOUSING AUTHORITY,55379,2013-10-22,2014-05-08
132292,NYC HOUSING AUTHORITY,53244,2013-10-24,2013-12-12
132292,NYC HOUSING AUTHORITY,53244,2013-10-24,2013-12-12
